Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Company,Year,Month,Month_Name,Quarter,Weekday,Daily_Return,Price_Change,Price_Range,Price_Change_Percent,Cumulative_Return,Daily_Return_Display,Cumulative_Return_Display,Days_7,Days_30
2018-11-29 05:00:00+00:00,43.82976057,43.8633538,42.63959358,43.08350754,167080000,0.0,0.0,AAPL,2018,11,November,4,Thursday,,-0.7462530299999983,1.2237602199999955,-1.7%,,,,,
2018-11-30 05:00:00+00:00,43.26107085,43.27067101,42.47882637,42.85075378,158126000,0.0,0.0,AAPL,2018,11,November,4,Friday,-0.54,-0.41031707000000495,0.7918446400000008,-0.95%,-0.54,-0.54%,-0.54%,,
2018-12-03 05:00:00+00:00,44.2616813,44.37685758,43.48183494,44.34806442,163210000,0.0,0.0,AAPL,2018,12,December,4,Monday,3.49,0.0863831200000007,0.8950226400000005,0.2%,2.95,3.49%,2.95%,,
2018-12-04 05:00:00+00:00,43.4194446,43.76497711,42.29646761,42.39724731,165377200,0.0,0.0,AAPL,2018,12,December,4,Tuesday,-4.4,-1.0221972900000011,1.4685094999999961,-2.35%,-1.4500000000000002,-4.4%,-1.4500000000000002%,,
2018-12-06 05:00:00+00:00,41.21427978,41.93893805,40.892744,41.92454147,172393600,0.0,0.0,AAPL,2018,12,December,4,Thursday,-1.11,0.7102616900000029,1.0461940499999969,1.72%,-2.5600000000000005,-1.11%,-2.5600000000000005%,,
2018-12-07 05:00:00+00:00,41.62940159,41.86935433,40.3840463,40.42963791,169126400,0.0,0.0,AAPL,2018,12,December,4,Friday,-3.57,-1.1997636800000038,1.4853080299999988,-2.88%,-6.13,-3.57%,-6.13%,,
2018-12-10 05:00:00+00:00,39.59219988,40.81355838,39.19147927,40.69598389,248104000,0.0,0.0,AAPL,2018,12,December,4,Monday,0.66,1.1037840099999983,1.6220791100000014,2.79%,-5.47,0.66%,-5.47%,42.247105188571425,
2018-12-11 05:00:00+00:00,41.19028273,41.22147409,40.07210223,40.46322632,189126800,0.0,0.0,AAPL,2018,12,December,4,Tuesday,-0.57,-0.727056410000003,1.1493718600000022,-1.77%,-6.04,-0.57%,-6.04%,41.8727793,
2018-12-12 05:00:00+00:00,40.88793577,41.25266488,40.55680356,40.57600021,142510800,0.0,0.0,AAPL,2018,12,December,4,Wednesday,0.28,-0.311935560000002,0.6958613199999988,-0.76%,-5.76,0.28%,-5.76%,41.54781450428572,
2018-12-13 05:00:00+00:00,40.90953273,41.40863473,40.68397663,41.01990891,127594400,0.0,0.0,AAPL,2018,12,December,4,Thursday,1.09,0.11037617999999583,0.7246581000000063,0.27%,-4.67,1.09%,-4.67%,41.072363717142856,
2018-12-14 05:00:00+00:00,40.55200137,40.57119802,39.65937714,39.70736694,162814800,0.0,0.0,AAPL,2018,12,December,4,Friday,-3.2,-0.8446344299999993,0.9118208800000005,-2.08%,-7.87,-3.2%,-7.87%,40.68809509285715,
2018-12-17 05:00:00+00:00,39.70018364,40.39604885,39.04751184,39.33785629,177151600,0.0,0.0,AAPL,2018,12,December,4,Monday,-0.93,-0.36232735000000105,1.3485370100000011,-0.91%,-8.8,-0.93%,-8.8%,40.31856863857143,
2018-12-18 05:00:00+00:00,39.68337387,40.19927065,39.44581941,39.8489418,135366000,0.0,0.0,AAPL,2018,12,December,4,Tuesday,1.3,0.1655679300000017,0.753451240000004,0.42%,-7.5,1.3%,-7.5%,40.23561205142857,
2018-12-19 05:00:00+00:00,39.83214592,40.18007658,38.17407198,38.60598755,196189200,0.0,0.0,AAPL,2018,12,December,4,Wednesday,-3.12,-1.2261583700000003,2.006004599999997,-3.08%,-10.620000000000001,-3.12%,-10.620000000000001%,39.93704114571428,
2018-12-20 05:00:00+00:00,38.48840787,38.89872856,37.26465141,37.63177872,259092000,0.0,0.0,AAPL,2018,12,December,4,Thursday,-2.52,-0.8566291500000034,1.634077150000003,-2.23%,-13.14,-2.52%,-13.14%,39.532548631428575,
2018-12-21 05:00:00+00:00,37.63897909,37.95091832,35.90412217,36.16806793,382978400,0.0,0.0,AAPL,2018,12,December,4,Friday,-3.89,-1.47091116,2.0467961499999987,-3.91%,-17.03,-3.89%,-17.03%,38.902844019999996,
2018-12-24 05:00:00+00:00,35.54899737,36.3648389,35.17467168,35.23226166,148676800,0.0,0.0,AAPL,2018,12,December,4,Monday,-2.59,-0.3167357100000032,1.1901672199999993,-0.89%,-19.62,-2.59%,-19.62%,38.07603726999999,
2018-12-26 05:00:00+00:00,35.58498447,37.72776022,35.20585878,37.71336365,234330000,0.0,0.0,AAPL,2018,12,December,4,Wednesday,7.04,2.128379179999996,2.5219014400000006,5.98%,-12.58,7.04%,-12.58%,37.791179657142855,
2018-12-27 05:00:00+00:00,37.39424315,37.61740115,36.00971814,37.46862793,212468400,0.0,0.0,AAPL,2018,12,December,4,Thursday,-0.65,0.07438477999999549,1.6076830100000024,0.2%,-13.23,-0.65%,-13.23%,37.52414703428571,
2018-12-28 05:00:00+00:00,37.79256456,38.03731743,37.08470456,37.48782349,169165600,0.0,0.0,AAPL,2018,12,December,4,Friday,0.05,-0.3047410700000057,0.9526128700000029,-0.81%,-13.18,0.05%,-13.18%,37.186844418571425,
2018-12-31 05:00:00+00:00,38.03970064,38.23886181,37.54779688,37.85013962,140014000,0.0,0.0,AAPL,2018,12,December,4,Monday,0.97,-0.1895610199999993,0.6910649300000031,-0.5%,-12.21,0.97%,-12.21%,37.07886614285714,
2019-01-02 05:00:00+00:00,37.16627698,38.11649137,37.0079073,37.89333344,148158800,0.0,0.0,AAPL,2019,1,January,1,Wednesday,0.11,0.72705646,1.1085840699999991,1.96%,-12.1,0.11%,-12.1%,37.116231102857135,
2019-01-03 05:00:00+00:00,34.5483873,34.9659063,34.073282,34.1188736,365248800,0.0,0.0,AAPL,2019,1,January,1,Thursday,-9.96,-0.4295137000000011,0.8926243000000014,-1.24%,-22.060000000000002,-9.96%,-22.060000000000002%,36.82348905571428,
2019-01-04 05:00:00+00:00,34.68036722,35.6449782,34.50520275,35.57538986,234428400,0.0,0.0,AAPL,2019,1,January,1,Friday,4.27,0.8950226400000005,1.1397754499999948,2.58%,-17.79,4.27%,-17.79%,36.87250737,
2019-01-07 05:00:00+00:00,35.68097283,35.71216786,35.00910441,35.49620819,219111200,0.0,0.0,AAPL,2019,1,January,1,Monday,-0.22,-0.18476464000000448,0.7030634500000019,-0.52%,-18.01,-0.22%,-18.01%,36.55577087571429,
2019-01-08 05:00:00+00:00,35.88733011,36.42962563,35.63778088,36.17287445,164101200,0.0,0.0,AAPL,2019,1,January,1,Tuesday,1.91,0.2855443400000013,0.7918447499999957,0.8%,-16.1,1.91%,-16.1%,36.37066323571428,
2019-01-09 05:00:00+00:00,36.30244581,37.07989395,35.90412707,36.78715134,180396400,0.0,0.0,AAPL,2019,1,January,1,Wednesday,1.7,0.4847055299999994,1.1757668799999976,1.34%,-14.4,1.7%,-14.4%,36.27056721428571,
2019-01-10 05:00:00+00:00,36.59279246,36.94552328,36.19927012,36.90473175,143122800,0.0,0.0,AAPL,2019,1,January,1,Thursday,0.32,0.3119392900000051,0.746253160000002,0.85%,-14.080000000000002,0.32%,-14.080000000000002%,36.13550894714286,
2019-01-11 05:00:00+00:00,36.68397526,36.88073459,36.35523752,36.54240036,108092800,0.0,0.0,AAPL,2019,1,January,1,Friday,-0.98,-0.14157489999999484,0.5254970700000001,-0.39%,-15.06,-0.98%,-15.06%,35.94251850714286,
2019-01-14 05:00:00+00:00,36.19686976,36.29764946,35.80574565,35.99290848,129756800,0.0,0.0,AAPL,2019,1,January,1,Monday,-1.5,-0.20396128000000147,0.4919038100000037,-0.56%,-16.560000000000002,-1.5%,-16.560000000000002%,36.21023777571428,38.677498627
2019-01-15 05:00:00+00:00,36.05769257,36.80634381,36.00490269,36.72956085,114843600,0.0,0.0,AAPL,2019,1,January,1,Tuesday,2.05,0.6718682799999982,0.8014411199999998,1.86%,-14.510000000000002,2.05%,-14.510000000000002%,36.37511934571429,38.465700403999996
2019-01-16 05:00:00+00:00,36.73196384,37.40383221,36.71276719,37.17827606,122278800,0.0,0.0,AAPL,2019,1,January,1,Wednesday,1.22,0.4463122200000029,0.6910650199999964,1.22%,-13.290000000000001,1.22%,-13.290000000000001%,36.61541475571429,38.27661781333334
2019-01-17 05:00:00+00:00,37.00069886,37.83093666,36.77514278,37.39902115,119284800,0.0,0.0,AAPL,2019,1,January,1,Thursday,0.59,0.39832229000000297,1.055793879999996,1.08%,-12.700000000000001,0.59%,-12.700000000000001%,36.79057857,38.04498303766666
2019-01-18 05:00:00+00:00,37.79255299,37.8837362,37.42782384,37.6293869,135004000,0.0,0.0,AAPL,2019,1,January,1,Friday,0.62,-0.16316608999999715,0.45591235999999924,-0.43%,-12.080000000000002,0.62%,-12.080000000000002%,36.91089793571429,37.886054357333336
2019-01-22 05:00:00+00:00,37.53100109,37.60778405,36.62157834,36.78474808,121576000,0.0,0.0,AAPL,2019,1,January,1,Tuesday,-2.24,-0.7462530099999967,0.9862057100000001,-1.99%,-14.32,-2.24%,-14.32%,36.893757411428574,37.714727911
2019-01-23 05:00:00+00:00,36.98870555,37.22626003,36.40082219,36.93351746,92522400,0.0,0.0,AAPL,2019,1,January,1,Wednesday,0.4,-0.055188090000001466,0.8254378399999993,-0.15%,-13.920000000000002,0.4%,-13.920000000000002%,36.94963128285714,37.598190562666666
2019-01-24 05:00:00+00:00,36.97910408,37.06788539,36.41041746,36.64076996,101766000,0.0,0.0,AAPL,2019,1,January,1,Thursday,-0.79,-0.33833411999999896,0.6574679300000028,-0.91%,-14.71,-0.79%,-14.71%,37.042182922857144,37.463016765
2019-01-25 05:00:00+00:00,37.30784662,37.9437235,37.02950425,37.85493851,134142000,0.0,0.0,AAPL,2019,1,January,1,Friday,3.31,0.5470918899999972,0.914219249999995,1.47%,-11.400000000000002,3.31%,-11.400000000000002%,37.20295116,37.376073838
2019-01-28 05:00:00+00:00,37.38222993,37.51180644,36.87113317,37.50460815,104768400,0.0,0.0,AAPL,2019,1,January,1,Monday,-0.93,0.12237822000000165,0.6406732700000006,0.33%,-12.330000000000002,-0.93%,-12.330000000000002%,37.249570029999994,37.27369410266667
2019-01-29 05:00:00+00:00,37.49261809,37.94373044,36.97911934,37.1158905,166348800,0.0,0.0,AAPL,2019,1,January,1,Tuesday,-1.04,-0.37672759000000156,0.9646111000000062,-1.0%,-13.370000000000001,-1.04%,-13.370000000000001%,37.20912279428571,37.14356015566667
2019-01-30 05:00:00+00:00,39.1722819,39.86814333,38.44762366,39.65218735,244439200,0.0,0.0,AAPL,2019,1,January,1,Wednesday,6.83,0.47990544999999685,1.4205196700000045,1.23%,-6.540000000000001,6.83%,-6.540000000000001%,37.498094287142855,37.141720836
2019-01-31 05:00:00+00:00,39.85854405,40.55200722,39.48661662,39.93772888,162958400,0.0,0.0,AAPL,2019,1,January,1,Thursday,0.72,0.07918483000000265,1.0653906000000006,0.2%,-5.820000000000001,0.72%,-5.820000000000001%,37.94852011571429,37.161716588999994
2019-02-01 05:00:00+00:00,40.06251569,40.54721764,39.81536097,39.95693588,130672400,0.0,0.0,AAPL,2019,2,February,1,Friday,0.05,-0.10557980999999472,0.7318566699999991,-0.26%,-5.770000000000001,0.05%,-5.770000000000001%,38.38043703285714,37.16531639166667
2019-02-04 05:00:00+00:00,40.17048611,41.19028518,40.13929109,41.09190369,125982000,0.0,0.0,AAPL,2019,2,February,1,Monday,2.84,0.9214175800000035,1.050994089999996,2.29%,-2.930000000000001,2.84%,-2.930000000000001%,39.01631328,37.248180263
